File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Fresh mass (g),Dried mass (g)
Acacia 1_mesh_1.ply,458.004,628.263,27.995,30.949,40.345,0.549,0.278722648
Acacia 1_mesh_2.ply,1922.044,1199.445,29.953,31.533,40.176,2.044,1.03772148
Acacia 1_mesh_3.ply,8193.871,2858.927,36.233,38.756,49.624,9.033,4.58597756
Acacia 2_mesh_1.ply,573.871,702.046,17.772,30.369,44.331,0.656,0.333045641
Acacia 2_mesh_2.ply,3481.187,1738.503,22.087,34.124,43.786,3.719,1.888104788
Acacia 2_mesh_3.ply,7116.135,2678.099,29.066,38.901,48.173,8.277,4.202162766
Acacia 3_mesh_1.ply,711.407,755.752,17.972,35.647,39.094,0.733,0.372137889
Acacia 3_mesh_2.ply,1646.374,1152.563,19.783,33.62,43.195,1.769,0.898106311
Acacia 3_mesh_3.ply,7380.608,2568.086,28.575,38.998,49.255,8.273,4.200132
Eucalyptus 1_mesh_1.ply,1270.671,1029.419,39.933,28.62,37.393,1.258,0.651813472
Eucalyptus 1_mesh_2.ply,2574.477,1456.445,39.687,28.397,38.546,2.91,1.507772021
Eucalyptus 1_mesh_3.ply,8138.815,2716.176,43.424,36.44,42.268,8.159,4.22746114
Eucalyptus 2_mesh_1.ply,1303.459,1009.831,52.655,9.078,11.825,1.394,0.722279793
Eucalyptus 2_mesh_2.ply,2525.178,1439.069,53.723,9.857,11.586,2.84,1.471502591
Eucalyptus 2_mesh_3.ply,7462.067,2636.685,54.767,16.996,18.998,8.074,4.183419689
Eucalyptus 3_mesh_1.ply,632.002,687.07,21.151,29.58,40.411,0.717,0.371502591
Eucalyptus 3_mesh_2.ply,2669.625,1463.012,27.513,35.008,43.77,2.879,1.491709845
Eucalyptus 3_mesh_3.ply,9153.349,2933.942,35.348,39.81,49.753,9.762,5.058031088
Pine 1_mesh_1.ply,1565.044,1390.524,40.591,27.824,38.011,1.196,0.564150943
Pine 1_mesh_2.ply,3804.193,2016.679,45.076,31.924,39.328,3.3,1.556603774
Pine 1_mesh_3.ply,8903.249,3241.111,45.763,33.129,43.894,8.768,4.135849057
Pine 2_mesh_1.ply,1086.452,1032.201,50.256,16.235,21.139,0.965,0.455188679
Pine 2_mesh_2.ply,3399.926,1937.686,55.438,18.921,22.55,2.973,1.402358491
Pine 2_mesh_3.ply,8158.752,2937.352,57.873,24.868,30.032,7.994,3.770754717
Pine 3_mesh_1.ply,916.445,942.8,26.025,32.177,42.289,0.717,0.338207547
Pine 3_mesh_2.ply,2946.619,1771.285,26.081,33.719,46.243,1.769,0.834433962
Pine 3_mesh_3.ply,7851.176,2818.463,30.899,38.984,51.932,8.273,3.902358491
